,day,month,days,is_it_job,seniority,company_code,country_code
0,24,10,4.0,0,2.0,43,98
1,7,9,51.0,0,2.0,43,27
2,9,10,19.0,0,3.0,43,4
3,22,10,6.0,0,3.0,43,116
4,21,9,37.0,0,3.0,43,98
5,10,10,18.0,0,2.0,43,77
6,18,9,40.0,1,2.0,43,98
7,15,9,43.0,1,3.0,43,77
8,22,10,6.0,0,2.0,43,116
9,26,9,32.0,0,3.0,43,77
10,2,10,26.0,1,1.0,43,27
11,16,10,12.0,0,3.0,43,27
12,22,10,6.0,1,2.0,43,116
13,9,10,19.0,0,2.0,43,77
14,23,10,5.0,1,2.0,43,116
15,18,9,40.0,0,1.0,43,27
16,2,10,26.0,0,2.0,41,27
17,14,9,44.0,1,2.0,146,116
18,6,10,22.0,1,2.0,146,27
19,6,10,22.0,1,2.0,146,27
20,22,10,6.0,0,3.0,4,39
21,22,10,6.0,0,3.0,4,39
22,8,10,20.0,0,3.0,4,39
23,8,10,20.0,0,3.0,4,39
24,21,10,7.0,0,3.0,4,116
25,19,10,9.0,1,3.0,4,52
26,24,10,4.0,0,3.0,4,116
28,13,10,15.0,0,3.0,4,77
29,26,9,32.0,0,2.0,173,17
30,24,7,96.0,1,3.0,15,116
31,8,9,50.0,0,2.0,117,27
32,8,9,50.0,0,2.0,117,27
33,14,9,44.0,0,3.0,49,27
34,21,10,7.0,1,2.0,49,27
36,27,10,1.0,0,3.0,108,72
37,5,8,84.0,0,3.0,149,116
38,6,10,22.0,0,3.0,149,116
39,3,8,86.0,0,4.0,149,116
41,10,8,79.0,1,3.0,149,116
42,25,9,33.0,0,3.0,42,116
43,9,10,19.0,0,1.0,125,27
44,14,10,14.0,0,1.0,125,27
45,29,9,29.0,0,1.0,125,27
46,23,9,35.0,0,3.0,2,27
47,24,9,34.0,0,1.0,110,27
48,24,9,34.0,0,1.0,110,27
49,21,10,7.0,1,3.0,144,27
50,22,10,6.0,1,3.0,103,116
51,7,9,51.0,1,2.0,103,21
52,24,9,34.0,0,3.0,103,116
53,16,9,42.0,1,2.0,103,37
