name;company_name;company_url;location;total_feedback;count_feedback,recruiter_urlAndré Nürnberger;PAN Personalvermittlung & Beratung;https://www.bestcruiter.com/personalberatung/pan-personalvermittlung-beratung;Berlin;4.90;107 Empfehlungen;https://www.bestcruiter.com/person/andre-nuernberger
André Nürnberger;PAN Personalvermittlung & Beratung;https://www.bestcruiter.com/personalberatung/pan-personalvermittlung-beratung;Berlin;4.90;107 Empfehlungen;https://www.bestcruiter.com/person/andre-nuernberger
Roman Böttcher;ABALON Recruitment GmbH;https://www.bestcruiter.com/personalberatung/abalon-Recruitment;München;4.83;2 Empfehlungen;https://www.bestcruiter.com/person/roman-boettcher
Mariusz Tulikowski;;;;;;https://bestcruiter.com/person/mtulikowski
Piotr Petrochenko;Bestcruiter;;Frankfurt am Main;5.00;2 Empfehlungen;https://bestcruiter.com/person/piotr-jakobczyk
Mario Trotzer;Muster Recruiting AG;;Berlin;3.95;5 Empfehlungen;https://bestcruiter.com/person/mario-trotzer
Claudio Schmidt;Schmidt LTD.;;Köln;4.34;3 Empfehlungen;https://bestcruiter.com/person/claudio-schmidt
Andrea Miotto;Recruiteroo AG;;Düsseldorf;;;https://bestcruiter.com/person/andrea-miotto
Gabriela Herwig;Workconnection;;Berlin;;;https://bestcruiter.com/person/gabriela-herwig
André Nürnberger;PAN Personalvermittlung & Beratung;https://www.bestcruiter.com/personalberatung/pan-personalvermittlung-beratung;Berlin;4.90;107 Empfehlungen;https://bestcruiter.com/person/andre-nuernberger
Michael Landscheidt;StaffShiP UG;https://www.bestcruiter.com/personalberatung/staffship-ug;Offenbach am Main;4.73;9 Empfehlungen;https://bestcruiter.com/person/michael-landscheidt
Wolfgang Bauer;ihr-Personalvermittler.de NL Spremberg;;Spremberg;;;https://bestcruiter.com/person/wolfgang-bauer
Dennis Szymainski;ihr-Personalvermittler.de NL Bautzen;;Bautzen;5.00;1 Empfehlungen;https://bestcruiter.com/person/dennis-szymainski
Gudrun Voigt;ihr-personalvermittler NL Freiberg;;Freiberg;;;https://bestcruiter.com/person/gudrun-voigt
Bärbel Schröder;ihr-Personalvermittler.de NL Dresden;;Dresden;;;https://bestcruiter.com/person/baerbel-schroeder
Dipl.-Kfm. Joerg E. Staufenbiel;Joerg E. Staufenbiel Personalberatung;;Köln;;;https://bestcruiter.com/person/joerge-staufenbiel
Michael Hübner;ihr-Personalvermittler.de NL Berlin;;Berlin;4.58;36 Empfehlungen;https://bestcruiter.com/person/michael-huebner
Alexander Walz;Conciliat GmbH;https://www.bestcruiter.com/personalberatung/conciliat-gmbh;Stuttgart, München, Frankfurt, Düsseldorf, Berlin, Nürnberg, Karlsruhe;4.65;28 Empfehlungen;https://bestcruiter.com/person/alexander-walz
Christine Oldenburg;ihr-Personalvermittler.de NL Dresden;;Dresden;;;https://bestcruiter.com/person/christine-oldenburg
Moritz Heiermann;MANNROTH;;Berlin;;;https://bestcruiter.com/person/moritz-heiermann
Andreas Sieker;Hire a Doctor Group;;Berlin;5.00;2 Empfehlungen;https://bestcruiter.com/person/andreas-sieker
Maik Hielscher;mh Recruitment;https://www.bestcruiter.com/personalberatung/mh-recruitment;Berlin;4.78;13 Empfehlungen;https://bestcruiter.com/person/maik-hielscher
Esat Yilmaz;MIGAVIS International;https://www.bestcruiter.com/personalberatung/migavis-international;Berlin;4.73;108 Empfehlungen;https://bestcruiter.com/person/esat-yilmaz
Alessandro Coduti;Conciliat GmbH;https://www.bestcruiter.com/personalberatung/conciliat-gmbh;Stuttgart;5.00;2 Empfehlungen;https://bestcruiter.com/person/alessandro-coduti
David Cadek;HeadAdvice International GmbH;;Berlin;1.00;1 Empfehlungen;https://bestcruiter.com/person/david-cadek
Gabriele Schmid;Koren Consulting KG;;12529 Schönefeld;;;https://bestcruiter.com/person/gabriele-schmid
Johannes Birkner;BECKER + PARTNER Personalberatung und Managementberatung;;Unna;;;https://bestcruiter.com/person/johannes-birkner
Samson Ziegler;SZH + Samson Ziegler Headhunter;;Kassel;4.83;6 Empfehlungen;https://bestcruiter.com/person/samson-ziegler
Karsten Berge;NELEX AG;https://www.bestcruiter.com/personalberatung/nelex-ag;Köln;;;https://bestcruiter.com/person/karsten-berge
Marion Otschik;Head2head Recruitment;;München;;;https://bestcruiter.com/person/marion-otschik
Christian Weber;Cyforwards GmbH;https://www.bestcruiter.com/personalberatung/cyforwards-gmbh;Grünwald;4.81;16 Empfehlungen;https://bestcruiter.com/person/christian-weber
Anja Beyer;ANDO Personal;;Pampow;;;https://bestcruiter.com/person/anja-beyer
Florian Danzke;Durstexpress GmbH;;Berlin;4.79;84 Empfehlungen;https://bestcruiter.com/person/florian-danzke
Konstanty Sliwowski;CAISSA Global;https://www.bestcruiter.com/personalberatung/caissa-global;Berlin;5.00;5 Empfehlungen;https://bestcruiter.com/person/konstanty-sliwowski
Albin Bankuti;CAISSA Global;https://www.bestcruiter.com/personalberatung/caissa-global;London;;;https://bestcruiter.com/person/albin-bankuti
Thorsten Borck;Jagdzeit IT-Consulting UG (haftungsbeschränkt);;Berlin;4.90;4 Empfehlungen;https://bestcruiter.com/person/thorsten-borck
Dirk Grundmann;PAN Personalvermittlung & Beratung;https://www.bestcruiter.com/personalberatung/pan-personalvermittlung-beratung;Mönchengladbach;4.57;4 Empfehlungen;https://bestcruiter.com/person/dirk-grundmann
Alexander Zoll;Zoll&Partner Unternehmensberatung;;Glattbach, Unterfr;;;https://bestcruiter.com/person/alexander-zoll
Andreas Maurer;Zeel GmbH;https://www.bestcruiter.com/personalberatung/zeel-gmbh;München;4.93;3 Empfehlungen;https://bestcruiter.com/person/andreas-maurer
Jana Suckfüll;Adrian & Roth Personalberatung;;München;;;https://bestcruiter.com/person/jana-suckfuell
Dipl.-Kfm. Timo Berg;4freelance recruitment eG;https://www.bestcruiter.com/personalberatung/4freelance-recruitment-eg;München;4.93;30 Empfehlungen;https://bestcruiter.com/person/timo-berg
Doreen Remke;DRP - Doreen Remke Personal;;Berlin;;;https://bestcruiter.com/person/doreen-remke
Christian Richter;select if Personalberatung;;Düsseldorf;;;https://bestcruiter.com/person/christian-richter-1
Roman Anikejew;1a-Ärztevermittlung;https://www.bestcruiter.com/personalberatung/1a-aerztevermittlung;Leipzig;4.81;7 Empfehlungen;https://bestcruiter.com/person/roman-anikejew
Alexander Baumann;Alexander Baumann;;Fulda / Petersberg;;;https://bestcruiter.com/person/alexander-baumann
Thomas Knoch;NEW SEARCH Personal- und Managementberatung;;Bruchsal, Heidelberg;;;https://bestcruiter.com/person/thomas-knoch
Yvonne Herr;Bernhard W. Herr Unternehmensberatung GmbH;;Frankfurt am Main;;;https://bestcruiter.com/person/yvonne-herr
Oliver Hanke;Personal- und Managementberatung Hanke;;Bielefeld;;;https://bestcruiter.com/person/oliver-hanke
Sabine Jonas;AW-Arbeitswelt GmbH & Co. KG;;Frankfurt;;;https://bestcruiter.com/person/sabine-jonas
Roman Böttcher;ABALON Recruitment GmbH;https://www.bestcruiter.com/personalberatung/abalon-Recruitment;München;4.83;2 Empfehlungen;https://bestcruiter.com/person/roman-boettcher
Gunnar Groß;Solt.Group GmbH;https://www.bestcruiter.com/personalberatung/solt-group-gmbh;Leinfelden-Echterdingen;4.89;3 Empfehlungen;https://bestcruiter.com/person/gunnargross
Rita Seidel;rise PERSONALBERATUNG;https://www.bestcruiter.com/personalberatung/rise-personalberatung;Königswinter;4.84;57 Empfehlungen;https://bestcruiter.com/person/rita-seidel
Petra Neudecker;headwaypersonal;https://www.bestcruiter.com/personalberatung/headway-personal;Landsberg am Lech;4.36;4 Empfehlungen;https://bestcruiter.com/person/petra-neudecker
Arne tom Wörden;PMC International AG;https://www.bestcruiter.com/personalberatung/pmc-international-ag;Düsseldorf;4.67;22 Empfehlungen;https://bestcruiter.com/person/arne-tomwoerden
Accesto Accesto;Accesto;;Berlin;4.71;4 Empfehlungen;https://bestcruiter.com/person/michal-accesto
Volker Aumann;aumann & metzen GmbH;;Essen;4.72;5 Empfehlungen;https://bestcruiter.com/person/volker-aumann
Tayfun Özen;[ ] tayfunRecruitment;;Frankfurt am Main;3.55;4 Empfehlungen;https://bestcruiter.com/person/tayfun-zen
Ingo Harth;Gess & Partner GmbH;;Düsseldorf;;;https://bestcruiter.com/person/ingo-harth
Lukasz Debek;BRENNER-TEKATH Personalberatung;https://www.bestcruiter.com/personalberatung/brenner-tekath-personalberatung;Recklinghausen;;;https://bestcruiter.com/person/lukasz-debek
Marco Langlouis;BleckmannSchulze GmbH;;Köln;5.00;1 Empfehlungen;https://bestcruiter.com/person/marco-langlouis
Stephanie Kräft;AGO Consulting Group®;;Berlin;5.00;3 Empfehlungen;https://bestcruiter.com/person/stephanie-kraeft
Sandra Maiello;headwaypersonal GmbH;;München;;;https://bestcruiter.com/person/sandra-maiello
Hans-Jürgen Huber;headwaypersonal;https://www.bestcruiter.com/personalberatung/headway-personal;Deggendorf;4.78;9 Empfehlungen;https://bestcruiter.com/person/hans-juergen-huber
Sinah Retzlaff;headwaypersonal;https://www.bestcruiter.com/personalberatung/headway-personal;Erding;4.95;6 Empfehlungen;https://bestcruiter.com/person/sinah-retzlaff
Ahmed Hassanin;ABALON Recruitment GmbH;https://www.bestcruiter.com/personalberatung/abalon-Recruitment;München;4.76;18 Empfehlungen;https://bestcruiter.com/person/ahmed-hassanin
Urban Kress;ABALON Recruitment GmbH;;München;4.69;20 Empfehlungen;https://bestcruiter.com/person/urban-kress
Heidi Liebscher;headwaypersonal;https://www.bestcruiter.com/personalberatung/headway-personal;Dresden;4.90;3 Empfehlungen;https://bestcruiter.com/person/heidi-liebscher
Hans Ulrich Gruber;DiePersonalberater;;Nürnberg, Kulmbach;4.80;3 Empfehlungen;https://bestcruiter.com/person/hansulrich-gruber
Tillmann Schlegel;Greifenberg Personalberatung & Recruitment;https://www.bestcruiter.com/personalberatung/greifenberg-personalberatung;München;4.80;63 Empfehlungen;https://bestcruiter.com/person/tillmann-schlegel
Julius Pickel;Greifenberg Personalberatung & Recruitment;https://www.bestcruiter.com/personalberatung/greifenberg-personalberatung;München;4.89;28 Empfehlungen;https://bestcruiter.com/person/juliuspickel
Eduard van den Brink;Greifenberg Personalberatung & Recruitment;https://www.bestcruiter.com/personalberatung/greifenberg-personalberatung;Rosenheimer Strasse, 145b, Muenchen;4.95;4 Empfehlungen;https://bestcruiter.com/person/eduard-vandenbrink-1
Fabian Niedermeier;Fabian Niedermeier;;München;4.60;1 Empfehlungen;https://bestcruiter.com/person/fabianniedermeier
Heike Löbach;Greifenberg Personalberatung & Recruitment;;Wuppertal;5.00;1 Empfehlungen;https://bestcruiter.com/person/heike-loebach
Maik Riedel;AMPERSTEG Recruitment Services;;Langenbach;;;https://bestcruiter.com/person/maik-riedel
Jan Finsterbusch;Greifenberg Personalberatung & Recruitment;https://www.bestcruiter.com/personalberatung/greifenberg-personalberatung;München;4.84;15 Empfehlungen;https://bestcruiter.com/person/jan-finsterbusch
